# YouTube-ссылки лекций курса «Введение в политологию» (FR-4.1).
# lecture — сквозной номер (1..15), language — kk|ru|en.
lecture,language,url
1,ru,https://youtu.be/XL2zOk2Sfp0
2,ru,https://youtu.be/ojxqIK3wKAs
3,ru,https://youtu.be/E5i_dkdIEdM
4,ru,https://youtu.be/D9okjeqKKss
5,ru,https://youtu.be/wDnQePWEBQ8
6,ru,https://youtu.be/cWbAGhkadhw
7,ru,https://youtu.be/OegWkMi8crY
8,ru,https://youtu.be/nwnp1I50Qvk
9,ru,https://youtu.be/rUx_5Ie5iqI
10,ru,https://youtu.be/laTQ4scgFjc
11,ru,https://youtu.be/xoig63TtTWA
12,ru,https://youtu.be/cENjB4vruoQ
13,ru,https://youtu.be/XJOYCDmH-Qg
14,ru,https://youtu.be/r-1T67NJkWU
15,ru,https://youtu.be/7A9e-mjuofg
1,kk,https://youtu.be/pXbBYq1DnN0
2,kk,https://youtu.be/I9XuOJ0qQJI
3,kk,https://youtu.be/ynMFPiy7q3Q
4,kk,https://youtu.be/WVTsqKMhrXk
5,kk,https://youtu.be/a2cKKPM9fBQ
6,kk,https://youtu.be/RpJkUkJkGa8
7,kk,https://youtu.be/Gx2V-jCsYyY
8,kk,https://youtu.be/tIcj5FMy-C8
9,kk,https://youtu.be/gRnBlYf8ZVM
10,kk,https://youtu.be/CzU8mVqdpqo
11,kk,https://youtu.be/V85pBn7qq-A
12,kk,https://youtu.be/qfdYEoOKwbA
13,kk,https://youtu.be/NA4irSExibk
14,kk,https://youtu.be/H2mccF3LeN0
15,kk,https://youtu.be/qlCo0LMWdvA
1,en,https://youtu.be/N3awuik8d54
2,en,https://youtu.be/5P79I2UL7c0
3,en,https://youtu.be/iLGMVyN4TDc
4,en,https://youtu.be/Rk7zhG-vUoU
5,en,https://youtu.be/RZ63pcP8K74
6,en,https://youtu.be/C9KAAzPMfcc
7,en,https://youtu.be/zDZkk5_-T6M
8,en,https://youtu.be/jqi0r6VOKkM
9,en,https://youtu.be/R-zEotV-bxI
10,en,https://youtu.be/1qSkPTjGdco
11,en,https://youtu.be/ZrWTjTK_t7M
12,en,https://youtu.be/SMhTUo_3VdE
13,en,https://youtu.be/01JCsTWP96Y
14,en,https://youtu.be/UQ0xUCf4Zg4
15,en,https://youtu.be/2odc3TQMhuo
